timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662922688723,116,object_info_4,200,OK,HW_1 1-2,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,116,0,55
1662922688725,115,object_info_2,200,OK,HW_1 1-3,text,true,,453,160,5,5,http://162.55.220.72:5005/object_info_2?name=Alex&age=30&salary=40,115,0,55
1662922688741,133,object_info_3,200,OK,HW_1 1-1,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,133,0,66
1662922688815,111,object_info_2,200,OK,HW_1 1-5,text,true,,453,160,5,5,http://162.55.220.72:5005/object_info_2?name=Alex&age=30&salary=40,111,0,54
1662922688839,126,get_method,200,OK,HW_1 1-2,text,true,,168,147,5,5,http://162.55.220.72:5005/get_method?name=Ivan&age=32,126,0,62
1662922688840,138,object_info_3,200,OK,HW_1 1-3,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,137,0,67
1662922688875,131,object_info_4,200,OK,HW_1 1-1,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,131,0,64
1662922688934,110,object_info_3,200,OK,HW_1 1-5,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,110,0,54
1662922688966,129,user_info_2,200,OK,HW_1 1-2,text,true,,463,244,5,5,http://162.55.220.72:5005/user_info_2,129,0,63
1662922688978,138,object_info_4,200,OK,HW_1 1-3,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,138,0,68
1662922689006,141,get_method,200,OK,HW_1 1-1,text,true,,168,147,5,5,http://162.55.220.72:5005/get_method?name=Ivan&age=32,140,0,68
1662922689044,121,object_info_4,200,OK,HW_1 1-5,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,121,0,59
